,variable,r_sqr,intercept,slope,p_value
99,yr_built_1901,0.00028001264950738847,0.5764348838710833,0.0674326346899869,0.024721154693880313
100,yr_built_1902,0.00043324003414257906,0.5764174326505886,0.0889581278710102,0.0052139543750416755
101,yr_built_1903,1.2027350382859403e-05,0.5765092137627915,0.010952851297588877,0.641646048025361
102,yr_built_1904,0.0002019118587066604,0.5764275948829833,0.04539449072662673,0.056525753645097106
103,yr_built_1905,0.0020612670272680544,0.5761034438663344,0.11627234421115705,1.0889931080338121e-09
104,yr_built_1906,0.0013162628836815848,0.5761487796880297,0.08302028068507515,1.1144560604068292e-06
105,yr_built_1907,0.0009445987035302528,0.576261269083609,0.08385859447088052,3.701065787482532e-05
106,yr_built_1908,4.527114846253344e-05,0.5764681370993426,0.016290096566151508,0.3665626514914929
107,yr_built_1909,0.001638277517377218,0.5760963237579217,0.0910170958022102,5.513989705986416e-08
108,yr_built_1910,0.0011829504325523432,0.5760858880784325,0.06433685998476418,3.895133110206354e-06
109,yr_built_1911,0.0007614937846455172,0.5762790523316037,0.0723025467843846,0.0002123428081709088
110,yr_built_1912,0.00058907110830142,0.5762979198765769,0.06038788227665276,0.0011239178065901591
111,yr_built_1913,0.00024679769610647107,0.5764093603971028,0.0475080088853331,0.03500349083545438
112,yr_built_1914,0.00026526798753390146,0.5764033441468562,0.048749859383462914,0.02883039760250744
113,yr_built_1915,0.00015607441180187642,0.5764271944005354,0.034985289118873816,0.09362668822077061
114,yr_built_1916,0.00013363519078912756,0.5764217894650331,0.028562840054863273,0.12081448587607427
115,yr_built_1917,7.177535521063483e-05,0.5764655847530074,0.02485740298448346,0.2555669890008364
116,yr_built_1918,0.00012999904246457916,0.5766759534866965,-0.02271372711939544,0.12598923422395816
117,yr_built_1919,0.0002708359175253028,0.5763635167586197,0.03834659505187328,0.02720097397485431
118,yr_built_1920,5.26003988499113e-06,0.5765614519449487,-0.0050432576025851265,0.7582532655044452
119,yr_built_1921,0.0006097279460375304,0.576298973700855,0.06277292959650513,0.0009191997979028294
120,yr_built_1922,0.00020910858041767177,0.5763798095101451,0.03270494711070312,0.05230064395684163
121,yr_built_1923,0.00041926675831116533,0.5763267908827189,0.0489291422080357,0.0059945214715421205
122,yr_built_1924,0.001129073108986356,0.5760875547088409,0.06165211204366768,6.46820924043574e-06
123,yr_built_1925,0.001808085980809282,0.5759243657048425,0.07247120940031566,1.1377601289761482e-08
124,yr_built_1926,0.002382588899640159,0.5757997551500826,0.0794011049733342,5.592634709505534e-11
125,yr_built_1927,0.0015017143060256366,0.5760733157660521,0.07936080263206564,1.9683478414160915e-07
126,yr_built_1928,0.0007037838649122108,0.5762015239948673,0.05148483647003954,0.00036987354831431594
127,yr_built_1929,0.0012380965234676244,0.5761059363936814,0.07041231047344798,2.31986257594385e-06
128,yr_built_1930,0.00015418323717120153,0.57640912005628,0.02967160006501575,0.09563771592374794
129,yr_built_1931,0.0005971670773532445,0.5763309601105738,0.07100869205916886,0.0010386905011341174
130,yr_built_1932,4.028045220483278e-06,0.5765483181093103,-0.007942247433042322,0.7876749631154871
131,yr_built_1933,2.3656124416460145e-05,0.576559955221625,-0.023998830995933047,0.5139501639950413
132,yr_built_1934,6.473369702819642e-05,0.5765721862860259,-0.04348484393322263,0.2802670420330052
133,yr_built_1935,7.623257058941846e-08,0.5765372941680958,-0.0014018072300946687,0.9704437206733104
134,yr_built_1936,5.793837866141516e-07,0.5765409776591798,-0.0028179400250865757,0.9186406701898091
135,yr_built_1937,0.00026194758406783425,0.5763988877144585,0.04658505497338165,0.029850158822791035
136,yr_built_1938,2.0869095540554383e-07,0.5765326108548522,0.0015130107999641973,0.951116903577973
137,yr_built_1939,0.00012091983656781213,0.5764098153516549,0.02342464164920473,0.14002207499036862
138,yr_built_1940,0.00015642337176524634,0.5763621455925036,0.022047677972321253,0.09326066484949273
139,yr_built_1941,7.533062381548383e-06,0.57649649374116,0.004677801096944411,0.7126345982574318
140,yr_built_1942,0.003947429232210031,0.5775870114924014,-0.09234287537052806,3.182466777006363e-17
141,yr_built_1943,0.005727693810536505,0.5776424431375604,-0.1269341962539819,2.6789909926386706e-24
142,yr_built_1944,0.002967430526967907,0.5772795176486539,-0.09775195497265073,2.56179742730209e-13
143,yr_built_1945,4.928596097319993e-05,0.5766117851092075,-0.015877756548685448,0.34613174741271213
144,yr_built_1946,8.299238710196555e-05,0.5764241244936374,0.018148362916542923,0.22149941059258238
145,yr_built_1947,0.00043319701205724037,0.5769146641731504,-0.028184470594694127,0.005216191352094803
146,yr_built_1948,0.0006857926816411508,0.5769804960116388,-0.037944735199135805,0.0004399638490682916
147,yr_built_1949,0.000525766719040921,0.5768838968492783,-0.03707983203316046,0.0020877287313530624
148,yr_built_1950,0.0002618406115479921,0.5768145703874369,-0.023123745205151123,0.029883630199328746
